names	scores	pvals_adj	group
LTB	13.787549	1.1537917063374394e-40	2
FPR1	13.713678	7.536805038646861e-41	1
CCL4	13.71285	4.022030547520958e-40	4
PTPRCAP	13.624691	3.264125046817125e-39	3
GIMAP7	13.62239	2.7499167772051964e-40	0
UBB	13.534858	4.1729214528711906e-39	4
LINC00936	13.4268465	3.6308271159194064e-39	1
HVCN1	13.257426	1.334453538547204e-37	2
SRGN	13.222844	2.3374475702260896e-37	4
APOBEC3A	13.020026	7.73066956761468e-37	1
LYAR	12.948268	2.535134507474217e-35	3
HOPX	12.88964	1.7220661819752274e-35	4
HLA-DPA1	12.871566	1.3122991077140138e-35	5
CNPY3	12.709169	4.1688885714839646e-35	1
ARPC1B	12.656368	2.050400461583404e-34	5
IGSF6	12.608925	1.460877938254778e-34	1
SERPINB1	12.601558	1.5949438158353009e-34	1
PYCARD	12.544147	7.82611051990187e-34	5
ABI3	12.532645	8.929298766046891e-34	5
ID2	12.474115	3.1495889398033626e-33	4
SRGN	12.447673	2.4377352315029807e-33	5
HLA-DPA1	12.443044	1.1560438437661996e-33	1
VAMP8	12.340476	4.13159826916217e-33	1
ASGR1	12.338451	4.213626702231867e-33	1
CYBA	12.251931	2.556450997483426e-32	5
GZMH	11.92017	2.3597870375421448e-30	4
BLVRA	11.856306	1.4182129014004437e-30	1
XCL2	11.788266	1.0987954588701483e-29	4
HLA-DMA	11.761668	4.3479438699348004e-30	1
ATP6V1F	11.750619	4.9051081761143975e-30	1
GIMAP5	11.627665	2.2841999133109647e-29	0
CLIC3	11.510101	2.6820025499681146e-28	4
PTPRCAP	11.469365	4.227377596814393e-28	4
HLA-DPB1	11.455922	1.4479645155489179e-28	1
AQP3	11.399898	3.154300441431253e-28	0
STX11	11.125289	6.055871477671583e-27	1
HLA-DRB1	11.105642	1.3347651063901476e-26	5
PLBD1	11.036226	1.6075587555856836e-26	1
MAL	11.027676	1.976463897364319e-26	0
H2AFY	10.999029	2.4188575907555557e-26	1
KLRG1	10.946679	4.726412378178136e-25	3
SMCO4	10.894569	7.523870732131966e-26	1
CCL5	10.83347	4.5508777160726345e-25	4
LAMTOR1	10.680342	7.5014422394617715e-25	1
CCL3	10.573128	2.3469110155106476e-24	1
IGFBP7	10.41376	3.588637451130531e-23	4
TRAF3IP3	10.257525	6.983032202607278e-23	0
C5AR1	10.198791	1.8857411511482951e-22	5
FOLR3	10.18781	1.273768129814785e-22	1
TNFRSF1B	10.053409	8.168016160963571e-22	5
ACAP1	9.997652	9.59694842907992e-22	0
GSTO1	9.927292	1.7375212767122878e-21	1
ARRB2	9.907758	3.498390654551334e-21	5
FCER1G	9.897798	6.2084091692423346e-21	4
FYB	9.83957	4.456192667613531e-21	0
CDA	9.833911	7.116533731424836e-21	5
GZMH	9.831453	4.7096521390665264e-20	3
MAFB	9.824398	7.721846659189443e-21	5
FCN1	9.821066	7.930915774902763e-21	5
AKR1C3	9.772885	2.059878236553226e-20	4
PTPRCAP	9.746695	3.350664538829203e-20	2
PRF1	9.733888	1.1858200712549758e-19	3
APOBEC3G	9.732043	3.04930911336233e-20	4
FGL2	9.670362	3.349113781326048e-20	5
IRF8	9.647677	8.409292106286777e-20	2
APOBEC3A	9.639512	4.471092844760969e-20	5
C1orf162	9.618498	5.3887608349623477e-20	5
FGL2	9.590752	4.5425290907445596e-20	1
EAF2	9.432601	6.164275698277422e-19	2
TNFSF10	9.378684	5.146684767141918e-19	5
S100A12	9.330068	5.200659873803409e-19	1
OAS1	9.307471	9.86443433123308e-19	5
HLA-DPA1	9.274177	1.44528383950185e-16	6
HLA-DPB1	9.256737	1.44528383950185e-16	6
BLOC1S1	9.11619	5.646081222335672e-18	5
TTC38	9.045771	1.78779711393911e-17	4
ATP5D	9.045293	7.058640276571282e-18	1
BLVRA	8.932541	2.928003349272787e-17	5
HLA-DRB1	8.859325	2.6828720428277443e-15	6
IL8	8.849116	4.032587543039423e-17	1
HLA-DQA1	8.827688	2.6828720428277443e-15	6
GCA	8.797352	6.340254155618846e-17	1
PDIA3	8.791815	1.694568068999015e-16	4
ARPC5L	8.790967	1.694568068999015e-16	4
FCRLA	8.789544	2.101429100771326e-16	2
HLA-DPB1	8.782698	1.0889289949244862e-16	5
CST3	8.765981	3.627504104213788e-15	6
SAT2	8.695779	1.528769445932656e-16	1
LGALS3	8.656073	3.250726410555879e-16	5
MAFB	8.647	2.323942041793944e-16	1
LIMD2	8.643707	7.316546014053764e-16	2
GNAI2	8.586707	3.8963981210207326e-16	1
FCGRT	8.513217	1.0790903888412815e-15	5
TYROBP	8.418775	4.013369294798751e-15	4
HLA-DOB	8.39138	6.045084844864112e-15	2
FCER1A	8.380978	8.998097125922325e-14	6
LITAF	8.349962	7.0943839501326896e-15	4
ARRB2	8.347857	2.960531955822182e-15	1
DYNLT1	8.252424	6.430813881944919e-15	1
JUND	8.224451	8.027277892737252e-15	1
RGS19	8.154141	2.0968642909364965e-14	5
SMIM14	8.142103	4.4768701214349666e-14	2
PRSS23	8.111316	5.0125577891240363e-14	4
PKIG	8.103175	6.119079682535997e-14	2
EFHD2	8.048881	3.3701971866741106e-14	1
LDLRAP1	8.023549	4.6962777459881416e-14	0
IL1B	7.9864974	5.550647251486753e-14	1
SELL	7.973401	6.986717566329922e-14	0
NCF2	7.9547987	1.0167807624477211e-13	5
HLA-DMA	7.8561254	5.150945087096072e-12	6
HLA-DQB1	7.850871	5.150945087096072e-12	6
C5AR1	7.838502	1.7865534999155703e-13	1
GIMAP4	7.8345213	2.0820168115869693e-13	0
XCL1	7.8039103	5.676445659215012e-13	4
FCGR2A	7.794402	2.5284612140365403e-13	1
STX11	7.785607	3.836563204326958e-13	5
EFHD2	7.7428846	8.945036039954623e-13	4
TNFSF13B	7.7342796	5.727389285857797e-13	5
P2RX5	7.726324	1.1162449698034136e-12	2
FCGR1A	7.587574	1.224681962968336e-12	1
CD72	7.5582204	3.974347672143036e-12	2
CYBA	7.518118	4.85409309785321e-12	4
FCGR2A	7.485813	3.736167408329634e-12	5
HOPX	7.4336305	2.8411356046941646e-11	3
S1PR5	7.407403	1.0836297911894004e-11	4
SRSF5	7.365282	7.193650265860675e-12	0
APOBEC3G	7.297894	7.423514029574778e-11	3
GSTO1	7.2944245	1.5122600524987e-11	5
SNX3	7.2867155	2.923226693102861e-11	2
TNFAIP2	7.226811	1.775167872256086e-11	1
CD2	7.218082	1.2912187032680205e-10	3
SCPEP1	7.198174	2.1793921018551343e-11	1
CLEC10A	7.1566577	7.558034523516714e-10	6
ZAP70	7.1556726	6.677651044786101e-11	4
GRN	7.1351943	8.284166465382911e-10	6
ITM2A	7.135011	3.749235417930987e-11	0
SAMD3	7.1234646	8.295181296953334e-11	4
PSME1	7.098514	9.882339332711853e-11	4
SPIB	7.0868897	1.1539920378747179e-10	2
CAPZB	7.054074	8.420014313216163e-11	5
C20orf27	7.041551	6.685090978172234e-11	1
NCR3	7.022285	1.7007595149847658e-10	4
TNFSF10	6.9364614	1.3958525492766377e-10	1
GPR56	6.9067497	3.7991915969916816e-10	4
GSTP1	6.860527	4.951973950830421e-09	6
IGLL5	6.8252215	6.725973000574287e-10	2
GPX1	6.817488	6.352738776982322e-09	6
GNAI2	6.7844853	5.255582022956144e-10	5
PNOC	6.7330294	1.2590091458414406e-09	2
TRABD2A	6.7163067	6.639289667427724e-10	0
PSMA7	6.6801243	7.92753571034448e-10	1
LINC00936	6.6732855	1.1030264513074377e-09	5
PLEKHF1	6.655284	2.0847752813247322e-09	4
SAMD3	6.647174	6.402167974644791e-09	3
PSMB8	6.6359487	2.3645437755191242e-09	4
UBE2L6	6.605512	1.7246814176156808e-09	5
TMEM219	6.5688295	1.6558785194588538e-09	1
TMEM205	6.510461	2.417554242560018e-09	1
KIAA0125	6.49073	6.1014093196204786e-09	2
SWAP70	6.4669003	7.108088283980572e-09	2
GIMAP7	6.4334817	2.5151803440647387e-08	3
ABI3	6.4232597	9.3808446359124e-09	4
BLNK	6.416496	9.56186235544532e-09	2
CAPZA2	6.406545	6.379323226688806e-09	5
H2AFY	6.405954	6.384144769008218e-09	5
G0S2	6.3865232	5.350025230239742e-09	1
CASP4	6.3773646	5.653838879454426e-09	1
RILPL2	6.3579197	6.388547627942102e-09	1
C5orf56	6.3447	1.543583631991027e-08	4
TALDO1	6.304428	1.2131209121036578e-08	5
CD19	6.280305	2.227930237724471e-08	2
BLOC1S1	6.2708483	1.1066330127034071e-08	1
CCL4	6.2626004	7.112671832299822e-08	3
UBE2L6	6.2471886	1.2792771278740303e-08	1
SNX3	6.2289715	1.430849966519837e-08	1
HLA-DMB	6.220532	2.9543103947493424e-07	6
CD79B	6.189896	2.471963276485717e-08	5
EFHD2	6.1633997	2.906044171687971e-08	5
H2AFY	6.1202564	5.124913873452882e-07	6
PTGDR	6.119562	6.246718269361908e-08	4
LGALS1	6.10863	5.300448216526063e-07	6
HAVCR2	6.079567	7.945384296310939e-08	4
CCL3	6.075912	8.089628068233178e-08	4
C20orf27	6.07531	4.9622313583374166e-08	5
SNX3	6.0704193	5.100833715471246e-08	5
CD247	6.027039	2.8272992749515396e-07	3
PF4	5.9851923	2.962390543472616e-06	7
PPBP	5.9848123	2.962390543472616e-06	7
SDPR	5.9844317	2.962390543472616e-06	7
GNG11	5.9844317	2.962390543472616e-06	7
GPX1	5.982531	2.962390543472616e-06	7
NRGN	5.982151	2.962390543472616e-06	7
SPARC	5.97949	2.962390543472616e-06	7
TPM4	5.9734073	2.962390543472616e-06	7
ZYX	5.973232	6.84520191820168e-08	1
RGS18	5.969606	2.962390543472616e-06	7
C9orf142	5.9398756	1.802653662695354e-07	4
RXRA	5.9065485	1.3572164952990908e-07	5
LGALS2	5.877561	1.9032956356124686e-06	6
HLA-DMB	5.8691044	1.278483325181274e-07	1
SMCO4	5.807925	2.409540208085474e-07	5
FCGRT	5.7160254	4.531624756273212e-06	6
LAT2	5.7067547	6.525519214140547e-07	2
PTPRCAP	5.700917	3.5296476951146104e-07	0
ARPC1B	5.696686	4.7865309943916945e-06	6
VAMP5	5.664698	4.0656482359615855e-07	1
NAPRT1	5.664632	4.0656482359615855e-07	1
OSCAR	5.6601524	4.1648360629892543e-07	1
CTD-2006K23.1	5.6460967	5.970552703474075e-07	5
ZYX	5.643678	6.03905776064272e-07	5
LAMTOR5	5.6370673	6.242406344724595e-07	5
TIGIT	5.6362114	2.3144965292372375e-06	3
PPIB	5.6038113	1.255753842626214e-06	4
ID2	5.589141	6.17252998540397e-07	1
CCL5	5.5712013	1.0513608125887835e-05	7
UBE2D1	5.533759	8.395525648373395e-07	1
UQCRC1	5.5073457	9.70058467100286e-07	1
RNF7	5.488232	1.0789834766570015e-06	1
GP9	5.484525	1.333838999363717e-05	7
CD9	5.4735007	1.333838999363717e-05	7
TYMP	5.4721003	1.392286260668863e-05	6
SRGN	5.471318	1.392286260668863e-05	6
HIST1H2AC	5.4702697	1.333838999363717e-05	7
ATP6V1F	5.443422	1.8100652598014064e-06	5
FGFBP2	5.4245367	7.3105733226848324e-06	3
SELPLG	5.38242	2.5008801337887083e-06	5
MARCKSL1	5.3758097	2.5879863286375363e-06	5
CD48	5.366404	2.7131394679305703e-06	5
GRN	5.366404	2.7131394679305703e-06	5
NCR3	5.358202	1.0201071831677514e-05	3
FCER1G	5.342313	2.467663777752111e-05	6
GRB2	5.3390427	2.4315347328503924e-06	1
BTK	5.334963	3.220066044636712e-06	5
DYNLT1	5.3326516	3.253338788420897e-06	5
CSNK2B	5.296857	3.912071263771283e-06	5
SNX29P2	5.277974	6.796613272212785e-06	2
COTL1	5.272556	3.416735163522611e-05	6
IFI35	5.261116	4.6531261797832e-06	5
PYCARD	5.238125	3.972562140950893e-05	6
PSMA7	5.234082	5.337733644432928e-06	5
SH3BP1	5.218603	5.7764604255566815e-06	5
ADAM28	5.2132716	9.494320098011629e-06	2
NAPRT1	5.21167	5.982634079419366e-06	5
IGSF6	5.203023	4.4815683504328294e-05	6
CAT	5.194149	6.528703180729613e-06	5
ID2	5.184577	2.5377439487788973e-05	3
VAMP5	5.1838837	6.866880478048405e-06	5
PPP1R2	5.163851	6.467254232421657e-06	0
SELL	5.114255	1.5765173719727154e-05	2
UQCRC1	5.089076	1.1039073992838834e-05	5
RETN	5.082838	9.221270237189116e-06	1
LSM6	5.079348	1.1593603391687166e-05	5
MYADM	5.075704	9.556824106534307e-06	1
TYROBP	5.0657454	8.717080969395123e-05	6
PASK	5.0465474	1.1729005073606497e-05	0
LST1	5.0369034	9.981238236532682e-05	6
CD1C	5.033997	9.981238236532682e-05	6
ARPC1B	5.029097	8.241685052011665e-05	7
DYNLL1	5.018165	1.27299470200699e-05	1
TNFRSF1B	5.0124907	1.3064760049881924e-05	1
SF3B5	5.0078454	1.3360293183477562e-05	1
PHACTR1	4.9897285	0.00012194218086538229	6
AP001189.4	4.9861393	9.59477761082898e-05	7
ITGA2B	4.985379	9.59477761082898e-05	7
IL1B	4.9839153	0.00012384410568342028	6
TUBB1	4.972834	9.854806132654419e-05	7
CLU	4.972454	9.854806132654419e-05	7
IGSF6	4.9689546	2.00250937600202e-05	5
ALDH2	4.9264555	0.00015518075210798834	6
FCRL6	4.9212995	4.482937577794838e-05	4
MPP1	4.9207525	0.00011942550875380688	7
LITAF	4.898215	9.972164782675589e-05	3
CRTAP	4.8938956	2.353744267643314e-05	1
MPP1	4.888873	2.9781638486867196e-05	5
PRMT2	4.878656	5.4657100142311756e-05	4
PPT1	4.8713646	2.6296283735812644e-05	1
SERPINB1	4.868008	5.747070509895535e-05	4
RPL22L1	4.853769	5.446796561451747e-05	2
TREX1	4.852384	2.8695003763746864e-05	1
NCOA4	4.8451014	0.00016130790525791146	7
CASP4	4.838245	3.789890170785788e-05	5
GIMAP4	4.8348255	0.00013638522420404868	3
ARHGAP24	4.832303	6.028917451319274e-05	2
HSP90AA1	4.8270593	7.012042115470345e-05	4
IRF7	4.815349	4.207043722401637e-05	5
CD247	4.787783	4.115024219492841e-05	0
LAMTOR1	4.7574296	0.00034037386309662156	6
NDUFB10	4.7497163	4.695077287399584e-05	1
IFI35	4.72984	5.153000186380588e-05	1
PLD4	4.7229986	0.0003983791547328176	6
GIMAP7	4.713749	0.00012040608285936948	4
ATP5C1	4.7030206	7.159790233988415e-05	5
ACTR2	4.698076	7.320375174689643e-05	5
PRKCB	4.693748	0.00011354021476635092	2
FERMT3	4.6804934	0.00032170063399299066	7
DYNLL1	4.669107	8.330620923010754e-05	5
CYBA	4.6442986	0.000563817006107857	6
HSP90AA1	4.6383224	0.00032993325732414466	3
STK17A	4.6310687	8.44148362394663e-05	0
PSME1	4.6287594	0.0003431885177593391	3
SERPINF1	4.625853	0.0005948995939757598	6
PRDX1	4.6192307	0.00010459712959068045	5
GPR183	4.6123314	9.177491558465432e-05	0
ARPC5L	4.6096334	0.000368796141488747	3
IFI30	4.597347	0.0006668508032142222	6
SAT1	4.597239	0.00046597846490905584	7
C1orf162	4.5896335	0.0006841978088428851	6
CD37	4.570662	0.00010719533345555622	1
SMS	4.556832	0.00013909777199461686	5
CNIH4	4.549845	0.00014323771772242972	5
SDHB	4.534581	0.00015280748943478876	5
RELT	4.490886	0.00018422343296271615	5
OSCAR	4.4892735	0.00018527235339009534	5
TMEM40	4.4866133	0.0007633874450638433	7
TREML1	4.4841423	0.0007663910640510084	7
PTCRA	4.4824314	0.000766709667976372	7
ZAP70	4.478174	0.0006493376411118342	3
TBCB	4.470229	0.00035958181741468605	4
CA2	4.4662747	0.000820709283378801	7
PGRMC1	4.4324408	0.00093267490022975	7
AIF1	4.4297743	0.001361753424808486	6
GSN	4.425862	0.0013722295480351756	6
PHPT1	4.4070377	0.00022075934338161164	1
CNPY3	4.404893	0.0002702862803287397	5
LAMTOR1	4.404499	0.0010312586629475243	7
UBB	4.390252	0.0009242198563587224	3
PSMB8	4.384577	0.00029568144884129486	5
RGS19	4.3800936	0.0002479985302691625	1
S100A11	4.3733206	0.0017124424561637014	6
MS4A6A	4.358676	0.0017944987584986632	6
TPM4	4.343696	0.0018894902297915427	6
VAMP8	4.318767	0.002089096916648902	6
SCPEP1	4.3086343	0.00041033526990072407	5
ZNF467	4.304105	0.00034216070104008524	1
TMEM50A	4.302621	0.0007515516798250933	4
GZMB	4.2978916	0.001359029201587195	3
ATP6V0E1	4.291113	0.0004424811062461527	5
SRGN	4.2910223	0.0016592294331138871	7
STK17A	4.278524	0.0014576890018449399	3
ODC1	4.2706842	0.0018057478978462038	7
CISH	4.2705646	0.00040637401537455795	0
ITGB7	4.2665987	0.0008752069689881104	4
ARPC4	4.261937	0.0008908051708457943	4
FCGR2B	4.261879	0.0007393707660155279	2
OAS1	4.251444	0.0004270982192767471	1
G0S2	4.2286606	0.0005726427662489936	5
C9orf142	4.2187257	0.0018718635209125753	3
CD160	4.2172804	0.0010697194885151832	4
ICAM2	4.199692	0.0006435213052389669	5
SCP2	4.18788	0.001206712709268408	4
KLRC1	4.1783447	0.0012545027342175795	4
ABRACL	4.1781936	0.0007020273574408063	5
PPT1	4.1762047	0.0007069579654964945	5
FPR1	4.157555	0.000764542108749029	5
TNFRSF4	4.1549644	0.0006590379707069985	0
RBM39	4.1530237	0.0013888008029612768	4
IDH3G	4.1496005	0.0007888649647111242	5
TXNDC17	4.149274	0.0006506470737998073	1
CSNK2B	4.126643	0.0007150249335769416	1
RAMP1	4.1161537	0.0016256244041302993	4
TBCB	4.1139135	0.0009127897182317725	5
RILPL2	4.1087003	0.000929590393702248	5
NCKAP1L	4.1049914	0.0009398261606413162	5
SERPINB1	4.0988646	0.0009617909342981961	5
LYAR	4.085429	0.0018451165549641293	4
SMS	4.0820127	0.0008527775302076473	1
SH3GLB1	4.0775814	0.001050635850364509	5
IDH2	4.0615115	0.001118127768512025	5
C16orf74	4.060376	0.0016631200063480078	2
TMBIM6	4.0548635	0.002078850533382234	4
BTN3A2	4.0548105	0.002078850533382234	4
ARHGDIA	4.054202	0.0011517412421498188	5
PARP1	4.043562	0.001773900146163701	2
ENHO	4.0224133	0.006171827789956385	6
NAP1L4	4.022356	0.0011240181199069954	0
MZB1	4.02141	0.001925647704135346	2
BTK	4.0195794	0.001935967586260939	2
GSTP1	3.994759	0.0014607225705522242	5
CAPZB	3.99156	0.002655421830986608	4
CNPY3	3.9898822	0.006920450859466237	6
SMAP2	3.989707	0.0014897355478629692	5
SEPT5	3.987847	0.005442791654576831	7
IGFBP7	3.9872756	0.0012470660590175886	1
MYL9	3.9722607	0.005703704408035453	7
ACRBP	3.9711204	0.005703704408035453	7
F13A1	3.9657981	0.005798784215176566	7
MMD	3.9551537	0.006028285773071159	7
TREX1	3.9511175	0.0017402479738673716	5
SNCA	3.9471705	0.006191379398701062	7
RAB7A	3.946508	0.00817677197913488	6
ILF3-AS1	3.9375985	0.0015611044898813508	0
CORO1B	3.9160216	0.0019912321970062506	5
SCGB3A1	3.9137506	0.001704841660676965	0
TNFSF13B	3.9089465	0.009487166043980437	6
IFIT1	3.9076374	0.002050655226266794	5
TNFRSF1A	3.9063761	0.0017177453964221745	1
RAB34	3.9022615	0.001742558372811404	1
SDHB	3.8961227	0.0017801776555122534	1
RNASEH2B	3.8860576	0.0031328608783207697	2
TMBIM6	3.8384697	0.008008686411295356	3
RXRA	3.822291	0.0023517919777435383	1
TMEM219	3.8182852	0.012798066208754278	6
TALDO1	3.8144956	0.009954421941413006	7
CD96	3.8129394	0.002507667919616851	0
RIC3	3.8125007	0.0025087844688883422	0
LIMD2	3.8065233	0.005429127932801625	4
UBE2D2	3.8006284	0.0026181702471476612	0
SRGN	3.797999	0.009218651817060412	3
NDUFA2	3.7878473	0.002667752454315276	1
SRP9	3.7765481	0.0028694157323665838	0
NCF2	3.7580307	0.015451338682277629	6
SRA1	3.749156	0.003084009597868969	1
DENND2D	3.7451124	0.0032324338687234294	0
PSMB6	3.737156	0.0039571495644151414	5
PARL	3.720453	0.0034176001494760377	1
DYNLL1	3.7183158	0.014325087852365255	7
DRAM2	3.71254	0.005886972043219136	2
ATP6V0E2	3.707405	0.003691037688854228	0
IDH3G	3.702468	0.0036601355355982343	1
KLRB1	3.6953316	0.00815472884865967	4
PSMC4	3.6841543	0.008459298529721222	4
S100A6	3.6785483	0.020231627199116305	6
SNX5	3.6749184	0.004936325075002151	5
RNF213	3.6612668	0.005167895617498377	5
ID2	3.6571965	0.021453488259301975	6
DEF6	3.656767	0.009173372898907533	4
KLRG1	3.656661	0.009173372898907533	4
IGJ	3.6559207	0.007216341574529812	2
RAB7A	3.6391237	0.005616323172557072	5
APOBEC3B	3.6356046	0.004660901126069496	1
GSTP1	3.624506	0.010206681662530361	4
LMAN2	3.6218712	0.005995614828250332	5
CYB5B	3.6051176	0.010832724493877996	4
EPN1	3.6039202	0.006387368917050823	5
RASGRP2	3.601878	0.006418696886257602	5
TNFAIP2	3.5981715	0.025885225067026188	6
NT5C	3.59709	0.008861696735200522	2
MPP1	3.5963826	0.005344370939323746	1
TXNDC17	3.5899463	0.00669004728026405	5
SRA1	3.5891402	0.006700884778722886	5
NCOA4	3.5880115	0.00672005495951739	5
STK17A	3.5819151	0.0117233898471967	4
SNX3	3.5799387	0.02344853972618442	7
MBOAT7	3.5788953	0.0056535383020384425	1
ARL6IP5	3.5736947	0.019782966635797435	3
PLD4	3.5675795	0.009823207581905247	2
ATP5H	3.5672812	0.005888925586466725	1
PPP1R14A	3.5660925	0.009839958055010343	2
TMEM14C	3.5660536	0.005909533375680306	1
SELL	3.5637453	0.012472259891480842	4
PDIA3	3.5609443	0.020600190312192408	3
S100A8	3.5536141	0.007591346091008693	5
SUMO3	3.5449598	0.030476056419653317	6
PRDX3	3.5313213	0.03167926700015234	6
FCGR1B	3.5282915	0.006700814855907805	1
POLR3K	3.517282	0.00859408328459525	5
RER1	3.5102952	0.008794438692249109	5
ARPC4	3.5085752	0.00883883518401998	5
LY6G6F	3.491362	0.03183797498652735	7
PTPN7	3.4876223	0.016104402889659256	4
SSBP1	3.4858062	0.008068175627060841	0
CMTM5	3.4856598	0.0323680059170596	7
BUB3	3.485006	0.025564453535135218	3
GNS	3.4835298	0.009558235797080665	5
GP1BA	3.4831886	0.032511951707993834	7
SGK1	3.4817028	0.007844787903275908	1
PRR5	3.4802446	0.02592494183242089	3
RAB7A	3.4706178	0.01707714249218785	4
RP11-367G6.3	3.469313	0.03373841902302643	7
SAT2	3.4689429	0.03751681815216194	6
PTGS1	3.4681726	0.03373841902302643	7
SAT1	3.4583228	0.03862301367749476	6
SNHG8	3.4578805	0.008878104198450322	0
CORO1B	3.4559708	0.008930629541648177	0
S100B	3.432106	0.019280519152725193	4
TPM1	3.4292064	0.03861281287438574	7
GUCD1	3.4276137	0.015726185259694908	2
ARL6IP5	3.4268615	0.01956489050029591	4
RCN2	3.426014	0.019580296595864723	4
CKS1B	3.422152	0.0116874782969718	5
SRSF3	3.4181738	0.020013177205502178	4
SMARCD3	3.4181247	0.009781961553521816	1
FUS	3.415063	0.010264135497337045	0
BCL2A1	3.4128003	0.012079409320140243	5
NDUFA2	3.405921	0.012337226998631342	5
RALY	3.3993683	0.0213425591689908	4
GYG1	3.3972454	0.033458181859044075	3
KIR3DL2	3.3953953	0.02160494068168799	4
C9orf16	3.393291	0.0338237264264832	3
STK17A	3.3915834	0.01761526371557531	2
C1QA	3.3825414	0.013309701040151108	5
MYO9B	3.3793705	0.013446017028712261	5
C15orf57	3.375265	0.01859070273601169	2
S1PR5	3.365934	0.03683704409126249	3
PARVB	3.362679	0.04833720057445579	7
